"ID","Family","Binomial","Ndaphnia","Sex","Site","Collector","Climate","Date","X30m","X60m","X120m","X180m","X240m","nbut","Notes","weight","death.p","Daphnia","time","death"
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,8,180,1
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,9,240,0
"3585","Lycaenidae","Zizina otis",10,"Female","AO","SS","Temperate","10/11/2023",2,6,7,8,8,1,"Brought from store and tested next day",0.007,0.8,10,240,0
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,1,60,1
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,2,120,1
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,3,240,1
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,4,240,0
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,5,240,0
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,6,240,0
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,7,240,0
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,8,240,0
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,9,240,0
"3630","Lycaenidae","Zizina otis",10,"Male","JB","MFE","Temperate","11/11/2023",0,1,2,2,3,1,NA,0.007,0.3,10,240,0
"3674","Lycaenidae","Zizina otis",10,"Female","JB","SS","Temperate","11/11/2023",0,0,0,0,1,1,NA,0.007,0.1,1,240,1
"3674","Lycaenidae","Zizina otis",10,"Female","JB","SS","Temperate","11/11/2023",0,0,0,0,1,1,NA,0.007,0.1,2,240,0
"3674","Lycaenidae","Zizina otis",10,"Female","JB","SS","Temperate","11/11/2023",0,0,0,0,1,1,NA,0.007,0.1,3,240,0
"3674","Lycaenidae","Zizina otis",10,"Female","JB","SS","Temperate","11/11/2023",0,0,0,0,1,1,NA,0.007,0.1,4,240,0
